FID,id,vejkode,vejnavn,park_id,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,stativ_ejer,stativ_foto,bemaerkning,reg_metode,reg_dato,rettet_dato,budget,projekt,faerdigmelding,projektbeskrivelse,stativ_fjernet,wkb_geometry
cykelstativ.1466,4029,2280,Gransangervej,0,Bispebjerg,Andet,På facade,Enkeltsidet,Vinkelret,4,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.526893395086693 55.69908483202849)
cykelstativ.1467,4028,2280,Gransangervej,0,Bispebjerg,Andet,På facade,Enkeltsidet,Vinkelret,4,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.52676159801606 55.699031635281194)
cykelstativ.1468,4027,2280,Gransangervej,0,Bispebjerg,Andet,På facade,Enkeltsidet,Vinkelret,4,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.526611880784102 55.69897301673827)
cykelstativ.1469,3606,2292,Grenågade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,4,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.58307912487473 55.703751608779285)
cykelstativ.1470,3600,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,8,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.582893402426272 55.70350706099349)
cykelstativ.1471,3599,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,2,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.58300079781281 55.70317773531884)
cykelstativ.1472,3598,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,2,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583006260630114 55.70314359938084)
cykelstativ.1473,3597,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,2,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583011510004024 55.70310704219402)
cykelstativ.1474,3596,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,2,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.58304365991789 55.7030357220792)
cykelstativ.1475,3613,2292,Grenågade,0,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583162414495984 55.70264932697251)
cykelstativ.1476,3612,2292,Grenågade,0,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,4,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583374910752372 55.70279838551216)
cykelstativ.1477,3611,2292,Grenågade,0,Østerbro,Model 32,På facade,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583292661667766 55.70307642056834)
cykelstativ.1478,3610,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Vinkelret,4,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583239540938713 55.70319548947505)
cykelstativ.1479,3609,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Vinkelret,4,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.58321627560686 55.70329108544284)
cykelstativ.1480,3608,2292,Grenågade,0,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,4,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583200587516103 55.703381940632376)
cykelstativ.1481,3607,2292,Grenågade,0,Østerbro,NO,På facade,Enkeltsidet,Skråt 45 grader,4,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583168937860242 55.70347326272946)
cykelstativ.1482,3605,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,7,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583149848015111 55.703538401322966)
cykelstativ.1483,3604,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,7,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.58310882685947 55.703653664100166)
cykelstativ.1484,3603,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.583125382064075 55.70359978881537)
cykelstativ.1485,3602,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,3,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.58286007190354 55.703612391981906)
cykelstativ.1486,3601,2292,Grenågade,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,3,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.58286982359939 55.7035781309793)
cykelstativ.1487,1357,2304,Griffenfeldsgade,0,Nørrebro,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-07-14T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.554751222373026 55.68857354441999)
cykelstativ.1488,7131,2328,Grøndals Parkvej,,Vanløse,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,10,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (12.515377065554384 55.69104573580937)
cykelstativ.1489,5871,2328,Grøndals Parkvej,0,Vanløse,Bycykelstativ,Ikke registreret,Ikke registreret,Ikke registreret,30,Ikke registreret,Ikke registreret,,,Digitaliseret manuelt,2015-08-26T13:59:58.188,2018-08-09T11:04:28.195,,,,,0,POINT (12.499001931963788 55.6861728914018)
cykelstativ.1490,6343,2348,Grønnegade,0,Indre By,NO,På fortov,Enkeltsidet,Skråt 45 grader,28,Ikke registreret,Offentligt, ,,Ikke registreret,2017-01-24T16:20:05.718,2018-08-09T11:04:28.195,,,,,2,POINT (12.582532860042452 55.68108003942824)
cykelstativ.1491,3218,2404,Guldbergsgade,0,Nørrebro,Model 32,Tæt på facade,Enkeltsidet,Vinkelret,6,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.55677936825531 55.6922757153874)
cykelstativ.1492,2891,2404,Guldbergsgade,0,Nørrebro,Andet,På facade,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.553405194858982 55.69754852636928)
cykelstativ.1493,7533,2404,Guldbergsgade,,Nørrebro,Noli,På fortovsudvidelse,Enkeltsidet,Vinkelret,10,Ikke registreret,Offentligt,,Nedlæggelse af 45 bilparkeringspladser,Digitaliseret manuelt,2017-07-26T17:10:53.961,2018-08-09T11:04:28.195,,fase 3,,,2,POINT (12.55868015543359 55.69130980025406)
cykelstativ.1494,3222,2404,Guldbergsgade,0,Nørrebro,Andet,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.556440873685029 55.69224002864967)
cykelstativ.1495,3221,2404,Guldbergsgade,0,Nørrebro,Andet,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.55635068717355 55.692315749367346)
cykelstativ.1496,3220,2404,Guldbergsgade,0,Nørrebro,Andet,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.55642465198575 55.69228844361839)
cykelstativ.1497,3219,2404,Guldbergsgade,0,Nørrebro,Andet,På plads,Dobbeltsidet,Vinkelret,20,Ikke registreret,Privat,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.556378321425237 55.692272652141085)
cykelstativ.1498,7721,2404,Guldbergsgade,,Østerbro,Noli,Tæt på facade,Enkeltsidet,Skråt 30 grader,10,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2018-07-05T13:18:54,2018-08-09T11:04:28.195,,Pulje,,,2,POINT (12.559849450534307 55.690943656486475)
cykelstativ.1499,7312,2404,Guldbergsgade,,Nørrebro,Noli,Andet,Enkeltsidet,Ikke registreret,15,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-15T13:40:41.619,2018-08-09T11:04:28.195,2013,fase2,,,2,POINT (12.553510687855196 55.69734550494288)
cykelstativ.1500,7779,2404,Guldbergsgade,,Nørrebro,Noli,På gadeareal,Enkeltsidet,Vinkelret,8,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2018-07-06T13:56:55.006,2018-08-09T11:04:28.195,,fase 3,,,2,POINT (12.557399050410817 55.69196565942652)
cykelstativ.1501,3212,2404,Guldbergsgade,0,Nørrebro,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Offentligt,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.559564284507584 55.69095377529662)
cykelstativ.1502,3211,2404,Guldbergsgade,0,Nørrebro,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,15,Ikke registreret,Offentligt,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,2,POINT (12.55961552426655 55.69098955708344)
cykelstativ.1503,7834,2428,Gullfossgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.579245707813833 55.66263896806029)
cykelstativ.1504,7833,2428,Gullfossgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.579153219919268 55.66271870137107)
cykelstativ.1505,7832,2428,Gullfossgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.579033111528577 55.66281574805715)
cykelstativ.1506,7831,2428,Gullfossgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.578924510986141 55.662905580710124)
cykelstativ.1507,7830,2428,Gullfossgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.578796698785165 55.663024861475876)
cykelstativ.1508,7835,2428,Gullfossgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 45 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.57938397761712 55.66252763497903)
cykelstativ.1509,7780,2436,Gunløgsgade,,Amager Vest,Noli,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2018-07-06T13:59:48.545,2018-08-09T11:04:28.195,,fase 3,,,2,POINT (12.578165562051044 55.665531432672026)
cykelstativ.1510,6197,2436,Gunløgsgade,,Amager Vest,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,56,Ikke registreret,Privat,,,Digitaliseret manuelt,2017-01-17T15:13:32.687,2018-08-09T11:04:28.195,,,,,2,POINT (12.577619767046285 55.665678323841064)
cykelstativ.1511,7601,2436,Gunløgsgade,,Amager Vest,Noli,På plads,Enkeltsidet,Vinkelret,32,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-11-29T08:59:03.718,2018-08-09T11:04:28.195,2013,fase1,,,2,POINT (12.58002392720873 55.66481654315091)
cykelstativ.1512,6196,2436,Gunløgsgade,,Amager Vest,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,5,Ikke registreret,Privat,,,Digitaliseret manuelt,2017-01-17T15:13:32.687,2018-08-09T11:04:28.195,,,,,2,POINT (12.578249538231233 55.66561750432328)
cykelstativ.1513,7164,2436,Gunløgsgade,,Amager Vest,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,8,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,POINT (12.580784033082791 55.664498933599724)
cykelstativ.1514,884,2438,Gunnar Nu Hansens Plads,0,Østerbro,NO,På fortov,Enkeltsidet,Vinkelret,20,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-07-17T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.574361388958344 55.704839119636794)
cykelstativ.1515,880,2438,Gunnar Nu Hansens Plads,0,Østerbro,NO,På fortov,Enkeltsidet,Vinkelret,20,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-07-17T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.575393047677684 55.70486899170882)
cykelstativ.1516,881,2438,Gunnar Nu Hansens Plads,0,Østerbro,NO,På fortov,Enkeltsidet,Vinkelret,20,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-07-17T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.57522398048543 55.704863088664595)
cykelstativ.1517,883,2438,Gunnar Nu Hansens Plads,0,Østerbro,NO,På fortov,Enkeltsidet,Vinkelret,20,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-07-17T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.574539020567492 55.70484399214954)
cykelstativ.1518,868,2438,Gunnar Nu Hansens Plads,0,Østerbro,Andet,På facade,Enkeltsidet,Skråt 45 grader,120,Ikke registreret,Privat,,,Indmålt med GPS,2001-07-17T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.576726208556062 55.704612469413654)
cykelstativ.1519,3746,2438,Gunnar Nu Hansens Plads,0,Østerbro,NO,På plads,Enkeltsidet,Vinkelret,40,Ikke registreret,Offentligt,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.572914782906741 55.704719657194254)
cykelstativ.1520,3747,2438,Gunnar Nu Hansens Plads,0,Østerbro,NO,På plads,Enkeltsidet,Vinkelret,85,Ikke registreret,Offentligt,,,Digitaliseret manuelt,,2018-08-09T11:04:28.195,,,,,0,POINT (12.57286144206418 55.705066140050555)
cykelstativ.1521,911,2438,Gunnar Nu Hansens Plads,0,Østerbro,NO,På fortov,Enkeltsidet,Vinkelret,20,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-07-17T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.574190534177504 55.70483454727871)
cykelstativ.1522,877,2438,Gunnar Nu Hansens Plads,0,Østerbro,NO,På fortov,Enkeltsidet,Vinkelret,20,Ikke registreret,Offentligt,,,Indmålt med GPS,2001-07-17T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.575557425785007 55.70487237678791)
cykelstativ.1523,1472,2444,Gustav Bangs Gade,0,Vesterbro-Kongens Enghave,NO,På plads,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.53665900466251 55.65101155947769)
cykelstativ.1524,7670,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,2,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.703,2018-08-09T11:04:28.195,,,,,2,POINT (12.612063966702364 55.647186120171796)
cykelstativ.1525,7684,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,5,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612097251173223 55.64679463078694)
cykelstativ.1526,7683,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,2,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612090881770252 55.64685932213184)
cykelstativ.1527,7682,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,2,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612089409588215 55.646876798932276)
cykelstativ.1528,7681,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,1,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612088337976303 55.646898622280375)
cykelstativ.1529,7680,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,2,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612084512350826 55.64692401347616)
cykelstativ.1530,7679,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,2,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612083600964564 55.64694757544322)
cykelstativ.1531,7678,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,1,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612081297504409 55.64698948351996)
cykelstativ.1532,7677,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,1,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612079795185684 55.64704008469177)
cykelstativ.1533,7676,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,2,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612075488858132 55.64706026002989)
cykelstativ.1534,7675,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,2,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.61207312033995 55.64708473661082)
cykelstativ.1535,7674,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,2,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.61206953503496 55.64711273573447)
cykelstativ.1536,7673,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,1,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612069600081849 55.647130167229655)
cykelstativ.1537,7672,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,1,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612068047770805 55.647146774719964)
cykelstativ.1538,7671,2448,Gyldenlakvej,0,Amager Vest,Noli,På facade,Enkeltsidet,Skråt 30 grader,2,Ikke registreret,Privat,,Tilladelse; ét år fra 1. december 2017,Digitaliseret manuelt,2017-12-20T10:25:18.702,2018-08-09T11:04:28.195,,,,,2,POINT (12.612066735802387 55.647165990138824)
cykelstativ.1539,62,2452,Gyldenløvesgade,0,Indre By,Model 32,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Offentligt, ,,Ikke registreret,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.563004218779918 55.679695262335635)
cykelstativ.1540,6872,2496,Gåsegade,,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,POINT (12.573555989061507 55.67612808724788)
cykelstativ.1541,95,2496,Gåsegade,0,Indre By,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,15,Ikke registreret,Offentligt, ,,Ikke registreret,2001-08-01T00:00:00,2018-08-09T11:04:28.195,,,,,0,POINT (12.57312990743799 55.67618068311427)
cykelstativ.1542,7838,2528,Halfdansgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 30 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.58002975211443 55.66344280359516)
cykelstativ.1543,7839,2528,Halfdansgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 30 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.580186722688223 55.663376317977324)
cykelstativ.1544,7840,2528,Halfdansgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 30 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.58033896401344 55.66331134585886)
cykelstativ.1545,7841,2528,Halfdansgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 30 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.580479821991865 55.66325495955161)
cykelstativ.1546,7842,2528,Halfdansgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 30 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.580615574652855 55.66319597100962)
cykelstativ.1547,7843,2528,Halfdansgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 30 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.580817152072509 55.663111674597786)
cykelstativ.1548,5753,2528,Halfdansgade,0,Amager Vest,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,0,Ikke registreret,Ikke registreret,,antal pladser ukendt,Digitaliseret manuelt,2015-03-27T14:20:59.857,2018-08-09T11:04:28.195,,,,,0,POINT (12.57613947771603 55.665226997525814)
cykelstativ.1549,5754,2528,Halfdansgade,0,Amager Vest,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,0,Ikke registreret,Ikke registreret,,antal pladser ukendt,Digitaliseret manuelt,2015-03-27T14:20:59.857,2018-08-09T11:04:28.195,,,,,0,POINT (12.576199733672944 55.66521296342877)
cykelstativ.1550,5755,2528,Halfdansgade,0,Amager Vest,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,0,Ikke registreret,Ikke registreret,,antal pladser ukendt,Digitaliseret manuelt,2015-03-27T14:20:59.857,2018-08-09T11:04:28.195,,,,,0,POINT (12.576487643444981 55.66507566230668)
cykelstativ.1551,5757,2528,Halfdansgade,0,Amager Vest,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,0,Ikke registreret,Ikke registreret,,antal pladser ukendt,Digitaliseret manuelt,2015-03-27T14:20:59.857,2018-08-09T11:04:28.195,,,,,0,POINT (12.577238899564229 55.66476013273561)
cykelstativ.1552,5756,2528,Halfdansgade,0,Amager Vest,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,0,Ikke registreret,Ikke registreret,,antal pladser ukendt,Digitaliseret manuelt,2015-03-27T14:20:59.857,2018-08-09T11:04:28.195,,,,,0,POINT (12.577195729148965 55.664782876129586)
cykelstativ.1553,7836,2528,Halfdansgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 30 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.579673501174856 55.663592141130174)
cykelstativ.1554,7837,2528,Halfdansgade,,,Noli,Tæt på facade,Enkeltsidet,Skråt 30 grader,6,Ikke registreret,Privat,,tilladelse givet 05-02-2018,Digitaliseret manuelt,2018-08-07T14:40:29.544,2018-08-09T11:04:28.195,,,,,2,POINT (12.579884414814977 55.66350344693527)
cykelstativ.1555,6488,2544,Halmtorvet,0,Vesterbro-Kongens Enghave,Ikke registreret,På plads,Enkeltsidet,Vinkelret,10,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-01-31T15:22:45.393,2018-08-09T11:04:28.195,,,,,2,POINT (12.557302360006254 55.668831700510005)
cykelstativ.1556,4561,2544,Halmtorvet,0,Vesterbro-Kongens Enghave,NO,Tæt på facade,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,POINT (12.559789796248001 55.67031269540731)
cykelstativ.1557,6490,2544,Halmtorvet,0,Vesterbro-Kongens Enghave,NO,Tæt på facade,Andet,Ikke registreret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-01-31T15:26:08.47,2018-08-09T11:04:28.195,,,,,2,POINT (12.562058487540257 55.670301764017644)
cykelstativ.1558,6460,2544,Halmtorvet,0,Vesterbro-Kongens Enghave,Ikke registreret,På facade,Enkeltsidet,Vinkelret,11,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-01-31T10:55:52.317,2018-08-09T11:04:28.195,,,,,2,POINT (12.562157533863632 55.67068614114617)
